Running loss: 0.5289713144302368, z loss: 0.2601742148399353, y loss: 0.2687970995903015
Running loss: 0.5287275314331055, z loss: 0.2625623643398285, y loss: 0.266165167093277
Running loss: 0.5246646404266357, z loss: 0.2564052939414978, y loss: 0.2682593762874603
Running loss: 0.523386538028717, z loss: 0.2551190257072449, y loss: 0.26826757192611694
Running loss: 0.5176476240158081, z loss: 0.2545389235019684, y loss: 0.2631087601184845
Running loss: 0.5141029953956604, z loss: 0.24921751022338867, y loss: 0.2648855745792389
Running loss: 0.5169742703437805, z loss: 0.2535867691040039, y loss: 0.2633875906467438
Running loss: 0.5160813331604004, z loss: 0.256376713514328, y loss: 0.25970467925071716
Running loss: 0.5014415383338928, z loss: 0.25057175755500793, y loss: 0.25086984038352966
Running loss: 0.49771061539649963, z loss: 0.24329504370689392, y loss: 0.2544156312942505
Running loss: 0.4838838279247284, z loss: 0.23662903904914856, y loss: 0.24725481867790222
Running loss: 0.5060031414031982, z loss: 0.24578535556793213, y loss: 0.2602177858352661
Running loss: 0.5175907611846924, z loss: 0.2454797327518463, y loss: 0.27211105823516846
Running loss: 0.5084786415100098, z loss: 0.2375984638929367, y loss: 0.27088019251823425
Running loss: 0.5052576661109924, z loss: 0.23652932047843933, y loss: 0.2687283456325531
Running loss: 0.49038028717041016, z loss: 0.22999054193496704, y loss: 0.2603897452354431
Running loss: 0.4869103729724884, z loss: 0.2243795394897461, y loss: 0.2625308334827423
Running loss: 0.4875270426273346, z loss: 0.22004471719264984, y loss: 0.26748231053352356
Running loss: 0.4837556481361389, z loss: 0.2175142765045166, y loss: 0.2662413716316223
Running loss: 0.48103442788124084, z loss: 0.21621562540531158, y loss: 0.26481881737709045
Running loss: 0.4749026298522949, z loss: 0.22127926349639893, y loss: 0.2536233961582184
Running loss: 0.4659164249897003, z loss: 0.2155803143978119, y loss: 0.2503361105918884
Running loss: 0.45725566148757935, z loss: 0.21122905611991882, y loss: 0.24602659046649933
Running loss: 0.4638388752937317, z loss: 0.2219434231519699, y loss: 0.24189545214176178
Running loss: 0.45693841576576233, z loss: 0.21310438215732574, y loss: 0.24383403360843658
Running loss: 0.4740757644176483, z loss: 0.21987225115299225, y loss: 0.2542034983634949
Running loss: 0.46878519654273987, z loss: 0.21723294258117676, y loss: 0.2515522539615631
Running loss: 0.46591800451278687, z loss: 0.21901759505271912, y loss: 0.24690037965774536
Running loss: 0.45480915904045105, z loss: 0.21343830227851868, y loss: 0.24137082695960999
Running loss: 0.45008569955825806, z loss: 0.2124655842781067, y loss: 0.23762010037899017
Running loss: 0.45045265555381775, z loss: 0.2133314609527588, y loss: 0.23712116479873657
Running loss: 0.43680450320243835, z loss: 0.2066059410572052, y loss: 0.23019851744174957
Running loss: 0.44723719358444214, z loss: 0.20975179970264435, y loss: 0.2374853640794754
Running loss: 0.4433266222476959, z loss: 0.20715707540512085, y loss: 0.2361694872379303
Running loss: 0.44463908672332764, z loss: 0.20697066187858582, y loss: 0.23766836524009705
Running loss: 0.43560299277305603, z loss: 0.20219159126281738, y loss: 0.23341134190559387
Running loss: 0.43474099040031433, z loss: 0.20226621627807617, y loss: 0.2324746996164322
Running loss: 0.4403914213180542, z loss: 0.2098100185394287, y loss: 0.23058132827281952
Running loss: 0.44027233123779297, z loss: 0.21530543267726898, y loss: 0.2249668389558792
Running loss: 0.4352209270000458, z loss: 0.211111381649971, y loss: 0.22410948574543
Running loss: 0.44764113426208496, z loss: 0.21416924893856049, y loss: 0.2334718108177185
Running loss: 0.44018614292144775, z loss: 0.2107425481081009, y loss: 0.2294435203075409
Running loss: 0.4412309229373932, z loss: 0.21304628252983093, y loss: 0.2281845659017563
Running loss: 0.4347150921821594, z loss: 0.2084379941225052, y loss: 0.22627705335617065
Running loss: 0.426444947719574, z loss: 0.20233890414237976, y loss: 0.22410599887371063
Running loss: 0.4258333146572113, z loss: 0.1962897777557373, y loss: 0.22954349219799042
Running loss: 0.4228772521018982, z loss: 0.19271937012672424, y loss: 0.23015785217285156
Running loss: 0.4334755539894104, z loss: 0.20048417150974274, y loss: 0.23299133777618408
Running loss: 0.444568932056427, z loss: 0.19837026298046112, y loss: 0.2461986094713211
Running loss: 0.4430564343929291, z loss: 0.1954958289861679, y loss: 0.2475605607032776
Running loss: 0.44757574796676636, z loss: 0.19572578370571136, y loss: 0.2518499195575714
Running loss: 0.4524291455745697, z loss: 0.20315054059028625, y loss: 0.24927854537963867
Running loss: 0.47122669219970703, z loss: 0.21478158235549927, y loss: 0.256445050239563
Running loss: 0.4716212749481201, z loss: 0.21159736812114716, y loss: 0.2600238621234894
Running loss: 0.48079970479011536, z loss: 0.22487691044807434, y loss: 0.25592276453971863
Running loss: 0.477596640586853, z loss: 0.22495216131210327, y loss: 0.25264444947242737
Running loss: 0.4712012708187103, z loss: 0.22331124544143677, y loss: 0.24788999557495117
Running loss: 0.4706133306026459, z loss: 0.22726382315158844, y loss: 0.24334946274757385
Running loss: 0.4664391279220581, z loss: 0.22522814571857452, y loss: 0.2412109524011612
Running loss: 0.4633422791957855, z loss: 0.22274579107761383, y loss: 0.2405964434146881
Running loss: 0.458983838558197, z loss: 0.22265946865081787, y loss: 0.23632432520389557
Running loss: 0.4542942941188812, z loss: 0.22081679105758667, y loss: 0.23347747325897217
Running loss: 0.4573412537574768, z loss: 0.22631213068962097, y loss: 0.23102909326553345
Running loss: 0.4501095414161682, z loss: 0.2215615063905716, y loss: 0.22854800522327423
Running loss: 0.44859766960144043, z loss: 0.21304799616336823, y loss: 0.23554962873458862
Running loss: 0.4470781981945038, z loss: 0.21148058772087097, y loss: 0.23559755086898804
Running loss: 0.46402955055236816, z loss: 0.21769453585147858, y loss: 0.2463349550962448
Running loss: 0.4618831276893616, z loss: 0.21986733376979828, y loss: 0.24201571941375732
Running loss: 0.45548054575920105, z loss: 0.21079686284065247, y loss: 0.2446836233139038
Running loss: 0.44674810767173767, z loss: 0.20148979127407074, y loss: 0.24525827169418335
Running loss: 0.4388520419597626, z loss: 0.19790925085544586, y loss: 0.24094273149967194
Running loss: 0.4393777847290039, z loss: 0.1963864415884018, y loss: 0.24299126863479614
Running loss: 0.4483145773410797, z loss: 0.19618219137191772, y loss: 0.2521323263645172
Running loss: 0.4555060565471649, z loss: 0.1956052929162979, y loss: 0.25990068912506104
Running loss: 0.4522315561771393, z loss: 0.1935662031173706, y loss: 0.2586652934551239
Running loss: 0.4517325460910797, z loss: 0.19665932655334473, y loss: 0.2550731599330902
Running loss: 0.4576786160469055, z loss: 0.20382292568683624, y loss: 0.2538556456565857
Running loss: 0.4707733988761902, z loss: 0.20962662994861603, y loss: 0.2611467242240906
Running loss: 0.46511876583099365, z loss: 0.2059209644794464, y loss: 0.25919777154922485
Running loss: 0.48999080061912537, z loss: 0.20782829821109772, y loss: 0.28216248750686646
Running loss: 0.47940149903297424, z loss: 0.20475664734840393, y loss: 0.2746448516845703
Running loss: 0.47107794880867004, z loss: 0.2043428272008896, y loss: 0.26673510670661926
Running loss: 0.4691275358200073, z loss: 0.2064467966556549, y loss: 0.2626807391643524
Running loss: 0.47936975955963135, z loss: 0.20993001759052277, y loss: 0.2694397568702698
Running loss: 0.47717320919036865, z loss: 0.2145404815673828, y loss: 0.26263272762298584
Running loss: 0.49009740352630615, z loss: 0.22123154997825623, y loss: 0.2688658535480499
Running loss: 0.47753840684890747, z loss: 0.21574868261814117, y loss: 0.2617897093296051
Running loss: 0.48073750734329224, z loss: 0.21919500827789307, y loss: 0.2615424692630768
Running loss: 0.47361305356025696, z loss: 0.2129444181919098, y loss: 0.26066863536834717
Running loss: 0.46602702140808105, z loss: 0.20832736790180206, y loss: 0.2576996386051178
Running loss: 0.4632295072078705, z loss: 0.20322498679161072, y loss: 0.2600044906139374
Running loss: 0.46024465560913086, z loss: 0.20565637946128845, y loss: 0.2545882761478424
Running loss: 0.4574885964393616, z loss: 0.20255006849765778, y loss: 0.254938542842865
Running loss: 0.46476906538009644, z loss: 0.21200627088546753, y loss: 0.2527627944946289
Running loss: 0.46022829413414, z loss: 0.21049928665161133, y loss: 0.24972902238368988
Running loss: 0.45607033371925354, z loss: 0.21110153198242188, y loss: 0.24496881663799286
Running loss: 0.44740620255470276, z loss: 0.20501206815242767, y loss: 0.2423941195011139
Running loss: 0.4539051949977875, z loss: 0.20501242578029633, y loss: 0.24889272451400757
Running loss: 0.4539656937122345, z loss: 0.209329754114151, y loss: 0.24463589489459991
Running loss: 0.4500817358493805, z loss: 0.2089739441871643, y loss: 0.24110771715641022
Running loss: 0.43575379252433777, z loss: 0.20287273824214935, y loss: 0.23288097977638245
Running loss: 0.4388279318809509, z loss: 0.20887300372123718, y loss: 0.22995485365390778
Running loss: 0.45048823952674866, z loss: 0.21388615667819977, y loss: 0.2366020530462265
Running loss: 0.45532742142677307, z loss: 0.2100275456905365, y loss: 0.24529986083507538
Running loss: 0.45446404814720154, z loss: 0.20720994472503662, y loss: 0.24725410342216492
Running loss: 0.45555129647254944, z loss: 0.21206530928611755, y loss: 0.2434859722852707
